Date,Open,High,Low,Close,Adj Close,Volume
10/22/2020,35.900002,37.450001,35.650002,37.240002,37.240002,24747800
10/23/2020,37.099998,38.099998,36.52,38.009998,38.009998,20690300
10/26/2020,37.369999,37.400002,34.669998,35.34,35.34,25924500
10/27/2020,35.110001,35.650002,34.150002,34.169998,34.169998,17594200
10/28/2020,33.110001,33.66,32.16,32.599998,32.599998,21822900
10/29/2020,32.630001,33.75,32.43,33.57,33.57,17257400
10/30/2020,33.150002,34.02,32.830002,33.860001,33.860001,18783200
11/2/2020,34.080002,34.099998,32.950001,33.779999,33.779999,13901000
11/3/2020,34.32,34.68,33.759998,34.02,34.02,16309000
11/4/2020,34,34.25,32.959999,33.34,33.34,14812300
11/5/2020,33.700001,35.459999,33.57,35.349998,35.349998,16192100
11/6/2020,34.900002,35.150002,34.200001,34.68,34.68,13194100
11/9/2020,41.900002,44.060001,39.130001,41.32,41.32,60942600
11/10/2020,40.450001,41.630001,39.48,40.049999,40.049999,26596600
11/11/2020,40.07,40.16,38.189999,38.509998,38.509998,20044100
11/12/2020,37.450001,38.709999,36.560001,36.849998,36.849998,23503200
11/13/2020,37.240002,39.099998,37.080002,38.990002,38.990002,19977400
11/16/2020,42.18,42.779999,40.049999,41,41,28722700
11/17/2020,40,41.099998,39.580002,40.599998,40.599998,19661400
11/18/2020,41.490002,42.889999,41.049999,41.049999,41.049999,22482000
11/19/2020,41,41.439999,40.189999,40.939999,40.939999,18556300
11/20/2020,40.709999,40.970001,39.669998,39.900002,39.900002,15604700
11/23/2020,40.169998,41.18,40.049999,40.93,40.93,21730000
11/24/2020,42.709999,45,42.450001,44.959999,44.959999,29934600
11/25/2020,44.490002,45.91,43.650002,45.639999,45.639999,24250800
11/27/2020,46.200001,46.759998,45.139999,45.299999,45.299999,14103900
11/30/2020,46.470001,46.5,44.200001,45.049999,45.049999,23401500
12/1/2020,45.830002,46.57,45.23,45.32,45.32,18811700
12/2/2020,45.099998,46.73,44.52,46.73,46.73,17745700
12/3/2020,47.669998,50.970001,47.66,49.91,49.91,32545200
12/4/2020,50.490002,51.310001,48.77,49.240002,49.240002,26300600
12/7/2020,49.279999,50.349998,48.709999,49.200001,49.200001,22364600
12/8/2020,49.02,50.400002,48.720001,49.040001,49.040001,17797900
12/9/2020,49.84,50.09,46.73,48.02,48.02,23325100
12/10/2020,46.740002,49.709999,46.599998,49.639999,49.639999,19020500
12/11/2020,49.150002,49.889999,47.639999,48.360001,48.360001,14770600
12/14/2020,49.599998,49.650002,46.700001,46.720001,46.720001,15745000
12/15/2020,47.200001,47.560001,45.799999,47.459999,47.459999,16803400
12/16/2020,46.5,46.91,45.549999,46,46,17369500
12/17/2020,46.299999,46.400002,45.459999,45.880001,45.880001,13785000
12/18/2020,45.75,45.950001,44.560001,44.740002,44.740002,16333200
12/21/2020,43.349998,44.419998,42.630001,44.060001,44.060001,21879100
12/22/2020,44.650002,44.790001,42.43,42.970001,42.970001,16519200
12/23/2020,43.099998,44.689999,43.080002,44.110001,44.110001,15284700
12/24/2020,44.400002,44.419998,43.009998,43.259998,43.259998,7230600
12/28/2020,44.040001,44.630001,43.75,43.919998,43.919998,13693200
12/29/2020,44.450001,44.650002,43.549999,43.740002,43.740002,9927700
12/30/2020,43.639999,44.759998,43.459999,44.650002,44.650002,9473300
12/31/2020,44.41,44.560001,43.110001,43.25,43.25,12684000
1/4/2021,43.68,43.700001,41.43,41.630001,41.630001,14710200
1/5/2021,41.580002,43.599998,41.5,43.400002,43.400002,12294500
1/6/2021,43.599998,44.279999,42.860001,43.540001,43.540001,12318900
1/7/2021,43.799999,44.84,43.610001,43.619999,43.619999,9592900
1/8/2021,43.580002,44,43.02,43.290001,43.290001,9215300
1/11/2021,42.669998,43.259998,42.25,42.700001,42.700001,8973200
1/12/2021,42.810001,44.169998,42.459999,44.080002,44.080002,9053100
1/13/2021,44.169998,44.639999,43.439999,44.43,44.43,11390200
1/14/2021,45.32,46.799999,45.32,46.290001,46.290001,16310500
1/15/2021,45.849998,45.98,43.880001,43.889999,43.889999,13211500
1/19/2021,44.599998,44.900002,43.77,44.75,44.75,9706300
1/20/2021,45.040001,45.650002,44.41,45.18,45.18,11661300
1/21/2021,43.799999,43.98,41.720001,42.59,42.59,32158200
1/22/2021,41.950001,42.290001,41.610001,42.139999,42.139999,13545000
1/25/2021,41.540001,41.73,39.900002,40.380001,40.380001,20281900
1/26/2021,40.799999,41.389999,40.560001,41.25,41.25,13388600
1/27/2021,40.740002,41.650002,40.310001,40.91,40.91,15280000
1/28/2021,42.830002,44.200001,41.619999,42.549999,42.549999,22175000
1/29/2021,42.110001,42.5,39.77,39.990002,39.990002,24192600
2/1/2021,40.349998,40.41,39.169998,39.939999,39.939999,13143400
2/2/2021,40.630001,40.91,39.939999,40.830002,40.830002,13118600
2/3/2021,41.02,42.200001,40.52,42.040001,42.040001,15174800
2/4/2021,42.150002,42.610001,41.84,42.41,42.41,13633800
2/5/2021,42.880001,42.939999,41.939999,42.139999,42.139999,10764300
2/8/2021,42.5,44.639999,42.220001,44.349998,44.349998,19794300
2/9/2021,44.060001,44.09,42.82,43.32,43.32,11967200
2/10/2021,43.860001,44.220001,43.360001,43.779999,43.779999,9772500
2/11/2021,43.639999,43.84,42.990002,43.439999,43.439999,8478100
2/12/2021,43.110001,44.470001,42.900002,43.939999,43.939999,8987500
2/16/2021,45.07,45.810001,44.560001,45.709999,45.709999,13954900
2/17/2021,45.41,46.48,44.720001,46.080002,46.080002,12821500
2/18/2021,45.200001,45.439999,44.299999,44.959999,44.959999,10250400
2/19/2021,45.52,48.360001,45.439999,48.029999,48.029999,21112000
2/22/2021,49.259998,51.82,48.349998,49.700001,49.700001,27547900
2/23/2021,50.200001,51.18,46.959999,50.610001,50.610001,20125000
2/24/2021,51.110001,55.869999,50.869999,54.959999,54.959999,27482100
2/25/2021,54.849998,55,50.419998,51.779999,51.779999,25950000
2/26/2021,51.509998,53.41,51.200001,52.68,52.68,18330200
3/1/2021,55.439999,55.93,52.779999,53.310001,53.310001,19500600
3/2/2021,53.66,54.049999,52.75,53.209999,53.209999,12371000
3/3/2021,53.610001,55.200001,53.279999,54.57,54.57,18438900
3/4/2021,54.639999,54.849998,49.950001,52.049999,52.049999,19937500
3/5/2021,52.650002,52.73,46.560001,50.52,50.52,21503200
3/8/2021,51.349998,54.330002,51.34,54.060001,54.060001,17589000
3/9/2021,53.810001,54.16,51.799999,53.43,53.43,15292800
3/10/2021,53.400002,54.369999,52.849998,53.919998,53.919998,13438900
3/11/2021,54.299999,55.869999,53.369999,54.060001,54.060001,17140800
3/12/2021,54,56.439999,53.610001,56.290001,56.290001,19762500
3/15/2021,58.25,61.689999,57.919998,60.939999,60.939999,35290100
3/16/2021,61.110001,61.200001,59.209999,59.810001,59.810001,18306400
3/17/2021,59.110001,62.560001,58.860001,62.450001,62.450001,18338000
3/18/2021,62.169998,63.700001,60.580002,60.82,60.82,19105700
3/19/2021,60.900002,60.950001,58.639999,60.77,60.77,19643800
3/22/2021,59.75,60.200001,58.209999,58.330002,58.330002,12958300
3/23/2021,57.110001,58.080002,53.849998,54.360001,54.360001,21698200
3/24/2021,55.66,56.959999,53.779999,53.830002,53.830002,18015800
3/25/2021,52.91,56.290001,52.029999,56.049999,56.049999,21500100
3/26/2021,57.09,57.369999,55.220001,56.830002,56.830002,15432400
3/29/2021,56.799999,57.310001,55.41,56.200001,56.200001,12083000
3/30/2021,56.779999,58.5,56.48,58.209999,58.209999,12708900
3/31/2021,58,58.009998,57.060001,57.540001,57.540001,11023800
4/1/2021,57.66,58.549999,57.279999,57.82,57.82,10932200
4/5/2021,59.34,60.889999,58.939999,59.290001,59.290001,17175700
4/6/2021,59.880001,60.419998,58.869999,59.48,59.48,11917200
4/7/2021,59.790001,61.34,59.189999,59.57,59.57,13772600
4/8/2021,59.139999,59.470001,57.75,59.43,59.43,13655800
4/9/2021,59.02,59.360001,57.790001,58.43,58.43,10896100
4/12/2021,57.57,57.709999,55.290001,56.16,56.16,18714700
4/13/2021,54.41,56.860001,53.900002,56.66,56.66,15349400
4/14/2021,57.459999,58.52,56.540001,56.919998,56.919998,12971100
4/15/2021,57.790001,57.849998,55.57,56.119999,56.119999,12123400
4/16/2021,56.470001,57.150002,55.709999,55.869999,55.869999,10620400
4/19/2021,55.790001,55.970001,54.740002,54.990002,54.990002,13984400
4/20/2021,53.470001,53.790001,49.470001,50.299999,50.299999,44364800
4/21/2021,49.880001,51.889999,48.900002,51.860001,51.860001,21085600
4/22/2021,52.34,53.09,50.880001,51.029999,51.029999,20538200
4/23/2021,51.209999,53.349998,50.639999,53.110001,53.110001,13841100
4/26/2021,54.049999,54.470001,53.220001,53.779999,53.779999,12358800
4/27/2021,53.779999,54.119999,53.189999,53.48,53.48,10331500
4/28/2021,53.25,54.040001,52.970001,53.549999,53.549999,11536000
4/29/2021,54.099998,54.32,53.119999,53.689999,53.689999,9804800
4/30/2021,53.220001,54.91,53.130001,54.400002,54.400002,11144000
5/3/2021,54.669998,54.869999,53.610001,54.459999,54.459999,9912900
5/4/2021,54.09,54.470001,51.73,52.799999,52.799999,13673200
5/5/2021,52.75,53.959999,52.439999,53.27,53.27,11151300
5/6/2021,53.43,53.77,52.099998,53.049999,53.049999,10524400
5/7/2021,52.93,54.959999,52.689999,54.73,54.73,11819900
5/10/2021,54.950001,55.610001,54,54.029999,54.029999,10852900
5/11/2021,52.040001,53.169998,51.200001,52.700001,52.700001,15065900
5/12/2021,52.119999,53.080002,50.900002,51.009998,51.009998,12728700
5/13/2021,51.419998,52.73,51.07,52.43,52.43,13363900
5/14/2021,53.400002,55.509998,53.290001,55.279999,55.279999,14499200
5/17/2021,55.009998,56.73,54.259998,56.57,56.57,17529900
5/18/2021,57.080002,57.75,55.950001,56.380001,56.380001,13706200
5/19/2021,55.080002,56.27,54.48,55.790001,55.790001,15121600
5/20/2021,56,56,54.209999,55.09,55.09,11702500
5/21/2021,55.450001,55.970001,55.119999,55.299999,55.299999,10527400
5/24/2021,56,56.34,54.919998,56.139999,56.139999,9470700
5/25/2021,57.650002,59.290001,56.779999,56.98,56.98,23605700
5/26/2021,57.75,58.43,57.23,58.009998,58.009998,11697300
5/27/2021,58.59,59.23,57.869999,59.130001,59.130001,12307500
5/28/2021,58.950001,59.200001,57.959999,58.349998,58.349998,14357300
6/1/2021,59.119999,60.41,58.959999,59.669998,59.669998,14321100
6/2/2021,60.150002,60.59,59.610001,60.290001,60.290001,12089200
6/3/2021,59.599998,59.599998,57.68,57.73,57.73,13746500
6/4/2021,58.299999,58.400002,56.720001,56.93,56.93,13622800
6/7/2021,57.34,57.970001,57.02,57.299999,57.299999,8915000
6/8/2021,57.900002,58.119999,56.830002,57.73,57.73,10778000
6/9/2021,57.990002,58.009998,57.169998,57.23,57.23,8151500
6/10/2021,57.599998,58.07,55.93,56.259998,56.259998,11664000
6/11/2021,56.16,56.830002,56.099998,56.52,56.52,9780500
6/14/2021,56.630001,57,55.540001,55.740002,55.740002,8248500
6/15/2021,55.740002,56.02,54.919998,55.290001,55.290001,7542000
6/16/2021,55.18,56.099998,54.98,55.599998,55.599998,9952000
6/17/2021,55.77,56.41,53.48,54.240002,54.240002,12509900
6/18/2021,53.869999,55.380001,53.540001,54.919998,54.919998,12490700
6/21/2021,55.240002,55.880001,54.549999,55.689999,55.689999,10891600
6/22/2021,55.490002,55.57,54.099998,55.169998,55.169998,9819700
6/23/2021,55.130001,55.490002,54.900002,55.119999,55.119999,9957500
6/24/2021,55.110001,55.389999,53.959999,54.34,54.34,11548600
6/25/2021,54.52,54.57,53.720001,53.880001,53.880001,12256400
6/28/2021,53.5,53.509998,51.669998,52.490002,52.490002,19098800
6/29/2021,52.66,53.080002,52.029999,52.150002,52.150002,12598300
6/30/2021,52.27,52.959999,51.869999,52.290001,52.290001,9244500
7/1/2021,52.790001,53.759998,52.689999,53.080002,53.080002,8577600
7/2/2021,53.169998,53.169998,52.09,52.77,52.77,9205500
7/6/2021,52.68,53.209999,51.02,51.439999,51.439999,10652300
7/7/2021,51.040001,51.869999,49.779999,50.299999,50.299999,12719100
7/8/2021,49.080002,50.52,48.57,49.66,49.66,13207800
7/9/2021,50.330002,51.32,49.970001,51.099998,51.099998,9914700
7/12/2021,50.330002,51.02,49.439999,50.619999,50.619999,11567200
7/13/2021,49.759998,50.040001,48.380001,48.5,48.5,14287200
7/14/2021,49.040001,49.959999,47.869999,48.16,48.16,14949300
7/15/2021,47.900002,48.630001,46.959999,47.709999,47.709999,12331800
7/16/2021,48.450001,48.48,45.830002,46.009998,46.009998,13760700
7/19/2021,43.700001,44.650002,42.560001,43.459999,43.459999,26444000
7/20/2021,43.549999,46.459999,43.07,46.32,46.32,21894000
7/21/2021,47.119999,48.939999,46.990002,48.099998,48.099998,23048300
7/22/2021,47.689999,48.700001,46.799999,47.950001,47.950001,12922300
7/23/2021,48.139999,48.48,47.16,47.529999,47.529999,9491300
7/26/2021,47.5,49.529999,47.400002,49.459999,49.459999,10775300
7/27/2021,49.110001,49.57,48.09,48.650002,48.650002,10559900
7/28/2021,49.080002,49.509998,48.040001,49.139999,49.139999,9772500
7/29/2021,49.580002,49.599998,48.459999,48.490002,48.490002,7643600
7/30/2021,47.689999,48.23,46.490002,46.720001,46.720001,12057700
8/2/2021,46.849998,48.23,45.950001,46.07,46.07,10995900
8/3/2021,46.119999,46.57,44.610001,46.540001,46.540001,12597000
8/4/2021,45.52,46.650002,44.900002,45.279999,45.279999,12205000
8/5/2021,45.52,47.669998,45.380001,47.240002,47.240002,12644600
8/6/2021,47.720001,48.130001,46.580002,47.619999,47.619999,9910400
8/9/2021,46.990002,47,45.529999,46.450001,46.450001,13064800
8/10/2021,46.369999,48.240002,46.169998,47.68,47.68,12551700
8/11/2021,47.139999,48.41,46.459999,48.209999,48.209999,12779300
8/12/2021,47.91,48.009998,46.549999,47.240002,47.240002,9307300
8/13/2021,47.080002,47.380001,46.27,46.490002,46.490002,7563100
8/16/2021,45.619999,46.549999,45.16,46.299999,46.299999,8402500
8/17/2021,45.439999,45.799999,44.52,45.290001,45.290001,9745500
8/18/2021,45.119999,45.990002,44.709999,45.040001,45.040001,9460700
8/19/2021,44.77,44.900002,43.169998,43.93,43.93,12360700
8/20/2021,43.790001,44.32,43.48,44.029999,44.029999,9855900
8/23/2021,44.639999,45.630001,44.32,45.529999,45.529999,8269200
8/24/2021,46.34,47.560001,46.279999,47.119999,47.119999,10048000
8/25/2021,47.299999,47.939999,46.540001,47.59,47.59,9772300
8/26/2021,47.299999,48.02,46.400002,47.009998,47.009998,8604000
8/27/2021,47.169998,48.220001,47.029999,47.709999,47.709999,6816100
8/30/2021,48.009998,48.009998,45.709999,45.91,45.91,11376100
8/31/2021,45.73,46.830002,45.610001,46.509998,46.509998,8884200
9/1/2021,46.75,46.93,45.950001,46.189999,46.189999,8608000
9/2/2021,46.279999,47.490002,45.869999,46.759998,46.759998,9780100
9/3/2021,46.599998,47.360001,45.919998,46.220001,46.220001,7705300
9/7/2021,46.02,46.779999,45.68,46.57,46.57,7802500
9/8/2021,46.700001,47.189999,45.419998,45.529999,45.529999,9053400
9/9/2021,45.240002,47.740002,45.07,46.580002,46.580002,12872300
9/10/2021,46.82,46.82,44.18,44.34,44.34,17476100
9/13/2021,44.73,45.18,43.57,44.84,44.84,14173600
9/14/2021,44.630001,44.93,43.580002,43.869999,43.869999,10762800
9/15/2021,43.650002,43.91,43.02,43.860001,43.860001,10321600
9/16/2021,43.860001,45.41,43.849998,44.470001,44.470001,12204300
9/17/2021,44.779999,45.5,44.110001,44.540001,44.540001,11733300
9/20/2021,44.759998,45.34,43.59,45.27,45.27,14700300
,,,,,,
